Jahr;GEMEINDE_BFS_NR;GEMEINDE;Bezirk NR;BEZIRK;REGION_CODE;REGION;ANZAHL_PERSONEN_TOTAL
01.01.2010;215;Dättlikon;10;Uster;109;Winterthur und Umgebung;746
01.01.2011;215;Dättlikon;10;Uster;109;Winterthur und Umgebung;747
01.01.2012;215;Dättlikon;10;Uster;109;Winterthur und Umgebung;748
01.01.2014;226;Schlatt;10;Uster;109;Winterthur und Umgebung;754
01.01.2013;215;Dättlikon;10;Uster;109;Winterthur und Umgebung;756
01.01.2019;98;Schleinikon;4;Dielsdorf;111;Zürcher Unterland;757
01.01.2014;215;Dättlikon;10;Uster;109;Winterthur und Umgebung;762
01.01.2018;226;Schlatt;10;Uster;109;Winterthur und Umgebung;763
01.01.2019;215;Dättlikon;10;Uster;109;Winterthur und Umgebung;777
01.01.2020;226;Schlatt;10;Uster;109;Winterthur und Umgebung;778
01.01.2016;215;Dättlikon;10;Uster;109;Winterthur und Umgebung;780
01.01.2017;215;Dättlikon;10;Uster;109;Winterthur und Umgebung;783
01.01.2019;226;Schlatt;10;Uster;109;Winterthur und Umgebung;785
01.01.2018;215;Dättlikon;10;Uster;109;Winterthur und Umgebung;790
01.01.2010;22;Benken;2;Andelfingen;110;Weinland;799
01.01.2020;215;Dättlikon;10;Uster;109;Winterthur und Umgebung;799
01.01.2010;39;Thalheim a.d.Th.;2;Andelfingen;110;Weinland;818
01.01.2011;22;Benken;2;Andelfingen;110;Weinland;819
01.01.2012;22;Benken;2;Andelfingen;110;Weinland;823
01.01.2014;22;Benken;2;Andelfingen;110;Weinland;824
01.01.2013;22;Benken;2;Andelfingen;110;Weinland;828
01.01.2019;22;Benken;2;Andelfingen;110;Weinland;847
01.01.2020;22;Benken;2;Andelfingen;110;Weinland;851
01.01.2018;22;Benken;2;Andelfingen;110;Weinland;855
01.01.2020;98;Schleinikon;4;Dielsdorf;111;Zürcher Unterland;856
01.01.2017;22;Benken;2;Andelfingen;110;Weinland;857
01.01.2016;22;Benken;2;Andelfingen;110;Weinland;858
01.01.2015;22;Benken;2;Andelfingen;110;Weinland;859
01.01.2010;24;Buch a.I.;2;Andelfingen;110;Weinland;872
01.01.2011;39;Thalheim a.d.Th.;2;Andelfingen;110;Weinland;876
01.01.2015;87;Hüttikon;4;Dielsdorf;103;Furttal;879
01.01.2016;218;Ellikon a.d.Th.;10;Uster;109;Winterthur und Umgebung;882
