Bezirks-Nr.;Bezirkbezeichnung;BFS;Gemeinde;Glas;Metalle;Altoel;Total_Glas_Metalle_Altoel;Jahr_Datum;Jahr;Gesamtsteuerfuss_ohne_Kirchen;Durchschnitt_Steuerfuss_ueber_alle_Jahre;ANZAHL_PERSONEN_TOTAL;Glas_pro_Kopf;Metalle_pro_Kopf;Altoel_pro_Kopf;Total_Glas_Metalle_altoel_pro_kopf;Glas_pro_Kopf_durchschnitt;Metalle_pro_Kopf_durchschnitt;altoel_pro_Kopf_durchschnitt;total_pro_kopf_durchschnitt;Steuerfuss_aenderung;Steuerfuss_aenderung_prozentual;Glas_pro_Kopf_aenderung;Glas_pro_Kopf_aenderung_prozent;Metalle_pro_Kopf_aenderung;Metalle_pro_Kopf_aenderung_prozent;Altoel_pro_Kopf_aenderung;Altoel_pro_Kopf_aenderung_prozent;Total_Glas_Metalle_altoel_pro_kopf_aenderung;Total_Glas_Metalle_altoel_pro_kopf_aenderung_prozent
6; Hinwil ;119; Seegraeben ;32;7;0;39;01.01.2016;2016;113;;1436;0.022284123;0.004874652;0;0.027158774;;;;;;;;;;;;;;
6; Hinwil ;119; Seegraeben ;31;10;1;42;01.01.2017;2017;113;;1426;0.02173913;0.007012623;0.000701262;0.029453015;;;;;;;;;;;;;;
6; Hinwil ;119; Seegraeben ;32;6;1;39;01.01.2018;2018;113;;1439;0.022237665;0.004169562;0.000694927;0.027102154;;;;;;;;;;;;;;
11; Winterthur ;227; Seuzach ;256;56;2;314;01.01.2019;2019;101;89.25;7427;0.03446883;0.007540057;0.000269288;0.042278174;0.033497274;0.007363307;0.000275576;0.041118898;17;20.24%;0.00220171;6.82%;-0.00073716;-8.91%;-0.0000113;-4.03%;0.00145326;3.56%
11; Winterthur ;227; Seuzach ;230;59;2;291;01.01.2012;2012;84;;7128;0.032267116;0.008277217;0.000280584;0.040824916;;;;;;;;;;;;;;
11; Winterthur ;227; Seuzach ;236;59;2;297;01.01.2013;2013;84;;7186;0.032841637;0.008210409;0.000278319;0.041330365;;;;;;;;;;;;;;
11; Winterthur ;227; Seuzach ;231;54;2;287;01.01.2014;2014;84;;7230;0.031950207;0.00746888;0.000276625;0.039695712;;;;;;;;;;;;;;
11; Winterthur ;227; Seuzach ;236;54;0;290;01.01.2015;2015;84;;7198;0.032786885;0.007502084;0;0.040288969;;;;;;;;;;;;;;
11; Winterthur ;227; Seuzach ;267;51;4;321;01.01.2016;2016;84;;7243;0.036863178;0.007041281;0.000552257;0.044318652;;;;;;;;;;;;;;
11; Winterthur ;227; Seuzach ;246;46;2;294;01.01.2017;2017;92;;7291;0.033740228;0.006309148;0.000274311;0.040323687;;;;;;;;;;;;;;
